"Code","Name","Type","Classification","SystemAccount","Balance"
"1010","Cash on Hand","Asset","Current Asset","Yes","0"
"1020","City Bank Current A/C","Asset","Current Asset","Yes","0"
"1025","Dutch-Bangla Bank A/C","Asset","Current Asset","No","0"
"1030","bKash Business Account","Asset","Current Asset","No","0"
"1035","Nagad Business Account","Asset","Current Asset","No","0"
"1040","Petty Cash","Asset","Current Asset","No","0"
"1100","Accounts Receivable (A/R)","Asset","Current Asset","Yes","0"
"1110","Advance to Suppliers","Asset","Current Asset","No","0"
"1120","Staff Advances","Asset","Current Asset","No","0"
"1130","Security Deposits","Asset","Current Asset","No","0"
"1200","Inventory - Finished Goods","Asset","Current Asset","Yes","0"
"1210","Inventory - Raw Materials","Asset","Current Asset","No","0"
"1220","Inventory - Packaging","Asset","Current Asset","No","0"
"1230","Goods in Transit","Asset","Current Asset","No","0"
"1300","VAT Input Receivable","Asset","Current Asset","Yes","0"
"1310","AIT (Advance Income Tax)","Asset","Current Asset","No","0"
"1400","Prepaid Expenses","Asset","Current Asset","No","0"
"1410","Prepaid Rent","Asset","Current Asset","No","0"
"1500","Computer and Equipment","Asset","Fixed Asset","No","0"
"1510","Furniture and Fixtures","Asset","Fixed Asset","No","0"
"1520","Motor Vehicles","Asset","Fixed Asset","No","0"
"1530","Office Equipment","Asset","Fixed Asset","No","0"
"1590","Accumulated Depreciation","Asset","Fixed Asset","No","0"
"2010","Accounts Payable (A/P)","Liability","Current Liability","Yes","0"
"2015","LC Payable (FC Supplier)","Liability","Current Liability","No","0"
"2020","Customer Advances (Deposits)","Liability","Current Liability","No","0"
"2030","Salary and Wages Payable","Liability","Current Liability","No","0"
"2040","Short-term Bank Loan","Liability","Current Liability","No","0"
"2045","PAD Loan Liability","Liability","Current Liability","No","0"
"2046","LTR Loan Liability","Liability","Current Liability","No","0"
"2047","LIM Loan Liability","Liability","Current Liability","No","0"
"2050","Credit Card Payable","Liability","Current Liability","No","0"
"2100","VAT Output Payable","Liability","Current Liability","Yes","0"
"2110","TDS Payable (Tax Deducted)","Liability","Current Liability","No","0"
"2120","Corporate Income Tax Payable","Liability","Current Liability","No","0"
"2500","Long-term Bank Loan","Liability","Long Term Liability","No","0"
"3010","Share Capital","Equity","Equity","Yes","0"
"3020","Retained Earnings","Equity","Equity","Yes","0"
"3030","Current Year Profit / Loss","Equity","Equity","Yes","0"
"3040","Drawings / Dividends Paid","Equity","Equity","No","0"
"4010","Sales Revenue - Domestic","Revenue","Revenue","Yes","0"
"4020","Sales Revenue - Export","Revenue","Revenue","No","0"
"4030","Service Income","Revenue","Revenue","No","0"
"4040","Other Income","Revenue","Other Income","No","0"
"4050","Sales Returns and Allowances","Revenue","Contra Revenue","Yes","0"
"4060","Sales Discount Allowed","Revenue","Contra Revenue","No","0"
"4070","Exchange Gain (IAS 21)","Revenue","Other Income","No","0"
"5010","Cost of Goods Sold (COGS)","Expense","Cost of Sales","Yes","0"
"5020","Purchase Returns","Expense","Cost of Sales","Yes","0"
"5030","Freight and Carriage Inward","Expense","Cost of Sales","No","0"
"5040","Customs Duty and Import Tax","Expense","Cost of Sales","No","0"
"5050","Purchase Discount Received","Expense","Cost of Sales","No","0"
"6010","Salary and Wages","Expense","Operating Expense","No","0"
"6020","Office Rent","Expense","Operating Expense","No","0"
"6030","Electricity and Utilities","Expense","Operating Expense","No","0"
"6040","Internet and Telephone","Expense","Operating Expense","No","0"
"6050","Marketing and Advertising","Expense","Operating Expense","No","0"
"6060","Depreciation Expense","Expense","Operating Expense","No","0"
"6070","Bank Charges and Fees","Expense","Operating Expense","No","0"
"6080","Stock Write-off / Loss","Expense","Operating Expense","Yes","0"
"6090","Stock Adjustment Expense","Expense","Operating Expense","Yes","0"
"6100","Travel and Conveyance","Expense","Operating Expense","No","0"
"6110","Repairs and Maintenance","Expense","Operating Expense","No","0"
"6120","Printing and Stationery","Expense","Operating Expense","No","0"
"6130","Legal and Professional Fees","Expense","Operating Expense","No","0"
"6140","Insurance Expense","Expense","Operating Expense","No","0"
"6150","Miscellaneous Expenses","Expense","Operating Expense","No","0"
"6160","Exchange Loss (IAS 21)","Expense","Operating Expense","No","0"
"6170","Interest Expense - Trade Finance","Expense","Operating Expense","No","0"
